Sex,How Often Shower,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Recycles_Paper,Recycles_Plastic,Recycles_Glass,Recycles_Metal,Cooking_Stove,Cooking_Oven,Cooking_Microwave,Cooking_Grill,Cooking_Airfryer,Body Type_normal,Body Type_obese,Body Type_overweight,Body Type_underweight,Diet_omnivore,Diet_pescatarian,Diet_vegan,Diet_vegetarian,Heating Energy Source_coal,Heating Energy Source_electricity,Heating Energy Source_natural gas,Heating Energy Source_wood,Transport_private,Transport_public,Transport_walk/bicycle,Vehicle Type_diesel,Vehicle Type_electric,Vehicle Type_hybrid,Vehicle Type_lpg,Vehicle Type_none,Vehicle Type_petrol,Social Activity_never,Social Activity_often,Social Activity_sometimes,Waste Bag Size_extra large,Waste Bag Size_large,Waste Bag Size_medium,Waste Bag Size_small,CarbonEmission_log
1,0,64,2,49,1,19,47,16,2,1771,0,1,1,0,1,1,1,1,1,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,7.4798641311650265
1,3,100,3,1351,1,20,24,5,2,2028,1,1,1,0,1,0,1,1,1,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,7.615298339825815
1,2,240,3,1726,2,15,19,5,0,2540,0,0,1,1,1,1,0,0,0,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,7.840312983320164
1,1,245,0,1021,7,14,48,10,0,1386,1,0,1,1,1,1,0,1,1,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,7.234898420314831
1,1,270,1,62,5,22,21,11,1,1679,0,1,0,0,1,1,1,1,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,7.426549072397305
0,1,294,3,9488,5,16,20,18,2,3141,0,0,1,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,8.052614818815567
0,2,87,3,1037,4,0,11,24,0,2627,1,1,0,0,1,1,1,1,1,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,7.873978379604501
0,0,209,0,9555,2,13,43,3,2,1188,1,0,1,1,0,1,1,1,1,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,7.080867896690782
0,3,124,0,9031,5,1,11,5,2,3174,0,1,1,0,1,0,0,1,1,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,8.063062911326792
1,2,276,2,1461,7,19,5,12,1,2327,0,0,0,1,1,1,1,1,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,7.752764808851328
1,1,90,3,39,3,22,7,9,2,1822,1,1,0,1,1,1,1,0,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,7.508238774678663
1,0,136,0,5033,6,0,43,24,0,2665,1,1,0,1,1,1,0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,7.888334500738654
0,1,246,2,1065,4,22,43,7,2,2129,0,1,0,1,1,1,1,1,1,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,7.6638772587034705
0,0,94,1,927,5,18,10,21,2,1425,1,0,1,0,0,1,0,0,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,7.262628600974241
0,2,253,2,2277,1,0,11,20,1,1690,1,0,1,1,1,0,0,0,0,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,7.43307534889858
1,2,200,1,97,7,13,18,0,1,1717,0,0,0,1,1,0,1,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,7.4489161025442
0,0,281,2,7272,2,4,38,5,0,4060,1,0,1,0,0,0,1,1,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,8.309184527686298
1,0,82,1,5260,3,14,18,17,0,3262,0,1,1,0,1,1,0,1,1,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,8.09040229659332
1,2,73,1,1750,1,9,30,12,2,1674,1,0,1,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,7.423568444259167
0,1,246,2,2998,4,0,36,3,1,3135,0,0,0,1,1,1,1,0,0,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,8.0507033814703
0,0,98,1,9147,5,1,49,20,2,4465,0,1,1,0,1,0,1,1,1,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,8.404248432400102
0,3,256,1,1947,3,23,33,8,1,1984,0,0,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,7.59337419312129
1,0,287,3,4885,1,21,21,3,2,3246,0,1,0,1,1,0,1,1,1,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,8.085486772102845
1,1,63,2,20,4,1,6,14,0,1351,1,1,1,1,1,1,1,1,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,7.20934025660291
0,0,158,0,23,1,24,33,2,0,1929,0,0,1,0,1,0,0,0,0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,7.5652752818989315
0,3,241,2,34,5,24,15,10,2,2719,0,0,0,0,0,1,1,1,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,7.908387159290043
1,3,176,2,59,1,11,41,19,2,2336,1,0,0,0,1,1,0,0,0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,7.756623334538858
1,0,189,0,682,6,0,35,3,1,1270,0,0,1,0,1,0,1,1,1,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,7.147559271189454
1,0,214,0,10,6,20,12,24,2,1803,0,0,1,0,1,0,1,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,7.4977617006225685
1,1,264,3,10,1,7,22,17,1,1816,1,0,1,0,0,1,1,1,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,7.504942068396171
0,3,213,0,7964,1,16,43,9,0,4638,1,1,0,0,1,1,0,0,0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,8.442254104751743
1,3,281,1,3606,3,16,8,22,1,1909,0,1,0,1,1,0,0,0,0,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,7.554858521040676
0,0,280,2,536,2,2,30,1,2,2021,0,1,0,0,0,1,0,0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,7.611842399580417
0,2,125,1,1564,5,4,15,23,0,1896,0,0,0,1,0,1,1,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,7.5480289699350145
0,1,188,2,78,4,11,21,3,0,1770,1,0,0,0,0,1,0,1,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,7.479299637782834
1,1,251,0,98,1,12,47,3,0,1323,1,1,0,1,1,0,1,0,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,7.188412736496954
1,1,285,3,1820,1,21,24,9,2,2269,0,1,0,0,0,0,0,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,7.727535110475448
0,2,234,0,243,4,20,36,5,2,1918,0,1,1,1,1,1,0,1,1,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,7.5595594960077
1,1,91,3,1586,7,8,43,2,2,2477,1,1,0,1,1,1,1,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,7.815207062189088
1,1,118,2,11,3,6,10,16,0,1444,1,0,0,0,1,1,0,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,7.275864600546533
1,3,75,0,72,5,15,42,16,1,1254,1,1,1,0,1,0,0,1,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,7.134890851565884
0,2,134,0,1157,5,19,35,10,0,1411,0,0,1,0,0,1,0,1,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,7.252762418053187
0,1,282,0,1380,4,7,11,8,0,1605,0,1,1,0,0,0,0,1,1,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,7.381501894506707
0,0,110,0,5765,5,7,2,18,0,3054,1,0,0,0,1,1,0,0,0,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,8.024534871605695
1,0,202,3,92,6,9,16,14,2,2902,0,0,0,0,0,0,0,1,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,7.97349996402463
0,0,56,2,7797,7,22,8,15,2,4301,0,1,1,0,1,1,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,8.366835309827675
1,3,223,3,50,3,12,35,22,2,2308,0,1,0,0,0,1,1,1,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,7.744569809354496
1,2,202,2,7629,1,17,37,2,0,4132,0,1,1,1,0,0,0,1,1,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,8.326758814511733
0,1,114,2,2367,3,1,41,23,0,2993,1,0,1,1,1,1,0,0,0,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,8.004365564979574
1,1,141,2,3960,1,7,21,1,2,3098,1,1,0,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,8.038834757787749
1,3,236,1,42,2,19,15,10,2,1364,0,1,0,1,0,0,0,0,0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,7.21890970761906
1,1,95,1,6455,1,15,31,14,2,2941,1,1,1,0,1,0,1,1,1,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,7.9868449011613825
1,2,249,2,41,4,6,2,4,1,1349,1,0,0,0,0,0,1,0,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,7.2078598714324755
1,1,213,0,71,1,24,17,16,2,1038,0,1,1,0,0,0,1,0,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,6.946013991099227
0,3,81,0,39,7,16,31,15,0,1815,0,1,1,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,7.504391559161238
1,2,91,3,50,1,13,29,24,0,2566,0,0,1,1,1,1,1,1,1,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,7.8504931808711405
1,3,291,3,8707,3,2,23,23,1,2439,0,1,1,1,1,1,1,0,0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,7.799753318287247
1,3,70,3,167,2,9,7,20,2,2056,0,1,0,1,1,1,0,0,0,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,7.6290038896529575
1,2,89,3,631,7,2,0,18,1,2299,1,1,1,1,0,0,1,1,1,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,7.7406644019172415
0,3,121,1,194,6,15,16,18,1,1492,0,1,0,1,1,0,0,1,1,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,7.30854279753919
1,1,198,1,46,1,12,45,17,0,1692,1,1,1,0,0,1,1,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,7.4342573821331355
0,2,234,2,37,3,15,29,3,2,2581,1,0,0,0,0,0,1,1,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,7.856319571406588
0,0,84,1,31,2,0,1,1,1,950,0,0,1,1,0,0,0,1,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,6.85751406254539
0,3,182,0,2880,5,10,9,1,1,1923,1,1,1,0,0,1,1,1,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,7.562161631225652
1,0,275,0,6,2,19,49,19,2,1751,1,0,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,7.468513271496337
1,2,228,3,40,6,1,35,7,1,2562,0,0,1,0,1,0,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,7.848933726364071
0,2,140,2,1,6,9,24,24,0,2456,1,1,0,0,0,1,1,1,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,7.806696372521179
1,2,232,0,1341,1,22,8,1,1,657,0,1,1,1,1,1,0,0,0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,6.489204931325317
1,3,115,3,393,3,21,13,9,0,1758,1,0,0,1,1,0,1,0,0,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,7.472500744737558
1,1,157,2,191,4,2,44,12,1,2184,0,1,1,0,0,0,1,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,7.68937110752969
1,3,156,3,131,1,14,20,23,0,3009,1,0,1,0,1,1,1,1,1,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,8.009695357742922
0,1,252,3,1419,5,8,43,20,2,3748,0,1,1,0,0,1,0,1,1,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,8.229244416735913
1,1,162,1,9159,7,2,26,16,0,1122,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,7.023758954738443
0,1,145,0,8016,3,21,14,16,0,2810,0,1,0,1,0,1,1,0,0,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,7.941295570906532
1,1,214,0,87,3,24,32,23,0,1346,0,1,0,0,0,0,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,7.205635176410364
1,3,126,1,3,5,15,3,12,2,671,1,1,0,1,1,1,0,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,6.51025834052315
1,3,91,2,13,1,19,44,16,2,1695,1,0,1,0,0,0,1,0,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,7.4360278163518485
1,2,205,0,74,3,6,2,19,0,810,0,1,0,1,0,1,1,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,6.698268054115413
1,3,285,2,7743,3,1,33,4,2,2768,1,0,0,0,1,1,0,1,1,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,7.926241523170962
1,2,178,0,993,7,11,2,13,1,1033,1,1,1,0,0,0,1,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,6.9411900550683745
1,3,236,1,1997,4,6,17,6,0,2046,1,1,1,0,0,1,0,1,1,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,7.624130585661289
1,2,286,1,2721,6,23,30,22,0,2171,0,0,1,1,1,1,1,1,1,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,7.683403681053826
1,1,108,1,5,7,21,0,4,2,1312,1,1,0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,7.180069874302796
0,3,76,1,941,1,24,3,18,0,1209,0,1,0,1,1,1,0,0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,7.098375638590786
